City_ID,City,Country,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
231,Martapura,ID,-3.4167,114.85,75.29,100,100,2.3,moderate rain
232,Poum,NC,-20.2333,164.0167,81.86,70,100,19.15,overcast clouds
233,Tharād,IN,24.3961,71.6267,62.2,28,5,7.65,clear sky
234,Sandūr,IN,15.1,76.55,68.99,59,6,5.41,clear sky
235,Saint Stephen,GB,50.3333,-4.9,49.15,100,75,14.97,broken clouds
236,Escárcega,MX,18.6089,-90.7454,92.71,28,27,4.23,scattered clouds
237,Tual,ID,-5.6667,132.75,81.99,80,100,14.58,overcast clouds
238,Äänekoski,FI,62.6946,25.818,24.87,98,89,3.4,overcast clouds
239,Cockburn Town,TC,21.4612,-71.1419,77.22,67,62,18.37,broken clouds
240,Buritis,BR,-15.6178,-46.4233,86.27,52,23,3.85,few clouds
241,Safi,MA,32.2994,-9.2372,55.36,62,0,17.11,clear sky
242,Mehamn,NO,71.0357,27.8492,24.71,86,40,8.05,light snow
243,Lumberton,US,34.6182,-79.0086,42.91,87,100,5.75,mist
244,Narsaq,GL,60.9167,-46.05,14.22,96,70,4.43,broken clouds
245,Lüderitz,NA,-26.6481,15.1594,67.3,59,7,21.27,clear sky
246,Guarujá,BR,-23.9931,-46.2564,88.9,26,20,12.66,few clouds
247,Melo,UY,-32.3667,-54.1833,66.97,94,100,16.62,moderate rain
248,Kiryat Gat,IL,31.61,34.7642,53.4,100,99,4.09,overcast clouds
249,Amuntai,ID,-2.4177,115.2494,72.3,94,100,0.58,overcast clouds
250,Tromsø,NO,69.6496,18.957,21.38,93,75,2.3,broken clouds
251,Narasannapeta,IN,18.4167,84.05,67.33,72,6,5.17,clear sky
252,Paracatu,BR,-17.2222,-46.8747,82.22,61,77,2.86,broken clouds
253,Gijang,KR,35.2442,129.2139,33.53,43,100,6.24,overcast clouds
254,Kathmandu,NP,27.7167,85.3167,50.85,76,20,3.44,few clouds
255,Sechura,PE,-5.5569,-80.8222,83.95,56,26,15.32,scattered clouds
256,Mazagão,BR,-0.115,-51.2894,77.05,77,100,6.67,light rain
257,Provideniya,RU,64.3833,-173.3,8.82,94,41,12.15,scattered clouds
258,Acapulco de Juárez,MX,16.8634,-99.8901,86.47,43,1,9.89,clear sky
259,Dunedin,NZ,-45.8742,170.5036,70.93,64,83,4.16,broken clouds
260,Saquena,PE,-4.6667,-73.5167,80.13,60,86,2.28,overcast clouds
261,Mezhdurechensk,RU,53.6942,88.0603,-3.55,99,45,2.71,scattered clouds
262,Wooster,US,40.8051,-81.9351,37.65,47,0,18.41,clear sky
263,Touros,BR,-5.1989,-35.4608,82.44,69,45,16.2,scattered clouds
264,Belen,TR,36.4891,36.2233,37.74,55,0,5.95,clear sky
265,Tiksi,RU,71.6872,128.8694,-26.95,98,82,7.94,broken clouds
266,Vilhena,BR,-12.7406,-60.1458,80.82,74,75,17.27,light rain
267,Gazojak,TM,41.1875,61.4036,36.97,83,38,3.13,scattered clouds
268,Uvinza,TZ,-5.1036,30.3911,66.18,92,23,1.07,few clouds
269,Broome,US,42.2506,-75.833,37.45,44,6,14.0,clear sky
270,Orlik,RU,52.5178,99.825,-16.33,93,22,2.33,few clouds
271,Verkhnevilyuysk,RU,63.4453,120.3167,-23.24,99,100,3.15,overcast clouds
272,Sungai Penuh,ID,-2.0833,101.3833,62.96,86,99,1.43,overcast clouds
273,La Asuncion,VE,11.0333,-63.8628,78.94,65,0,15.1,clear sky
274,Santa Vitória do Palmar,BR,-33.5189,-53.3681,70.48,88,100,15.01,light rain
275,Hasaki,JP,35.7333,140.8333,38.21,61,100,11.61,overcast clouds
276,Tigil',RU,57.8,158.6667,-17.64,100,96,2.86,overcast clouds
277,Shimoda,JP,34.6667,138.95,44.47,65,100,14.09,overcast clouds
278,Aiquile,BO,-18.2041,-65.1807,71.92,44,99,11.48,overcast clouds
279,Kodinsk,RU,58.6881,99.1844,8.85,96,100,4.63,overcast clouds
280,Ust-Nera,RU,64.5667,143.2,-25.44,99,94,1.5,overcast clouds
281,Caravelas,BR,-17.7125,-39.2481,81.01,68,0,8.86,clear sky
282,Madimba,TZ,-10.4,40.3333,79.92,89,20,11.5,few clouds
283,Erenhot,CN,43.6475,111.9767,14.76,32,100,5.5,overcast clouds
284,Redlands,US,34.0556,-117.1825,68.36,23,75,1.01,broken clouds
285,Jinxiang,CN,27.4327,120.6062,48.54,81,100,10.56,overcast clouds
286,San Vicente,AR,-26.6167,-54.1333,83.41,52,49,3.38,scattered clouds
287,Banepā,NP,27.6298,85.5214,49.14,81,20,3.44,few clouds
288,Kavaratti,IN,10.5669,72.642,79.61,79,71,6.26,broken clouds
289,Lata,PT,40.1629,-8.3327,48.07,76,0,2.91,clear sky
290,Puerto Cabezas,NI,14.0351,-83.3888,84.16,79,40,9.22,scattered clouds
291,Maniitsoq,GL,65.4167,-52.9,8.91,83,100,18.45,light snow
292,Broken Hill,AU,-31.95,141.4333,56.08,52,0,15.61,clear sky
293,Mago,RU,53.2514,140.1822,-31.22,100,75,1.34,broken clouds
294,San Policarpo,PH,12.1791,125.5072,79.25,84,11,15.64,few clouds
